p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
9.23583837815777e-14,0.560750739199179,0.195,0.103,1.29902066788789e-09,9,FAM133B
1.28340754505676e-13,0.595093878594227,0.167,0.084,1.80511271212234e-09,9,FKBP4
1.37984295500661e-13,0.570483418908927,0.287,0.183,1.94074911621679e-09,9,COX7B
1.43008655857663e-13,0.471733123243605,0.12,0.051,2.01141674463803e-09,9,SIKE1
1.45036011264549e-13,0.45314626574365,0.143,0.065,2.03993149843589e-09,9,CCNH
1.53737738541555e-13,0.400952084617102,0.127,0.055,2.16232129258697e-09,9,C12orf65
1.57290125689407e-13,0.576538282485928,0.215,0.121,2.21228561782151e-09,9,SRSF4
1.66850875535915e-13,0.458542143339846,0.111,0.045,2.34675756441264e-09,9,PRCC
1.70504745790842e-13,0.447977603616568,0.114,0.047,2.39814924954819e-09,9,LNPEP
1.70614538044568e-13,0.504585889996143,0.146,0.068,2.39969347759684e-09,9,C12orf57
2.61146185116275e-13,0.569407671005239,0.224,0.129,3.67302109366041e-09,9,LSM1
3.09628562321071e-13,0.629151577616966,0.225,0.13,4.35492572904587e-09,9,TAGAP
3.15689272161799e-13,0.484077932256598,0.171,0.085,4.44016961295571e-09,9,EIF3J
3.22095931235349e-13,0.508051235164128,0.187,0.099,4.53027927282518e-09,9,MRPL47
4.26507139299733e-13,0.394449493019027,0.132,0.059,5.99882291425074e-09,9,EPB41L4A-AS1
4.62485465642202e-13,0.346373346257863,0.852,0.837,6.50485807425757e-09,9,MT-ATP6
4.66911351636944e-13,0.50892334189398,0.167,0.084,6.56710816077362e-09,9,REL
5.18609136528323e-13,0.476441033693514,0.116,0.049,7.29423750527087e-09,9,GABPB1-AS1
5.36127751193726e-13,0.501014317051626,0.211,0.115,7.54063682053976e-09,9,BUD23
5.48097209623919e-13,0.5068999473667,0.236,0.138,7.70898725336042e-09,9,SNW1
5.49540834454362e-13,0.396522718303808,0.12,0.051,7.72929183660061e-09,9,MRPS35
8.22541403156693e-13,0.397663132839637,0.136,0.061,1.15690448353989e-08,9,NCBP2-AS2
8.32889890657816e-13,0.551333283812166,0.287,0.184,1.17145963121022e-08,9,EIF3I
8.45629288436405e-13,0.522246842013594,0.294,0.188,1.1893775941858e-08,9,MAGOH
8.66508978767768e-13,0.465416052851535,0.477,0.351,1.21874487863687e-08,9,LTB
1.0748481144471e-12,0.4348536007593,0.111,0.046,1.51177387296984e-08,9,FNBP4
1.16714610464264e-12,0.407855980414017,0.424,0.318,1.64159099617987e-08,9,HNRNPF
1.22606709954813e-12,0.374257030499003,0.109,0.045,1.72446337551444e-08,9,NFYB
1.25952911561788e-12,0.439348137289818,0.165,0.083,1.77152770111655e-08,9,RAD21
1.26632478615782e-12,0.493534683231656,0.125,0.057,1.78108581173097e-08,9,LAMTOR3
1.42963617004263e-12,0.522486395860336,0.13,0.06,2.01078327316496e-08,9,KLF3
1.7539872652657e-12,0.579408045169296,0.35,0.237,2.46698308859621e-08,9,RGCC
2.00476307805773e-12,0.548517861164804,0.232,0.136,2.81969926928819e-08,9,ZC3H15
2.15171933377517e-12,0.388825901735783,0.123,0.054,3.02639324295478e-08,9,TRIAP1
2.17478431493636e-12,0.408648866811748,0.141,0.066,3.05883413895799e-08,9,COPS3
2.29472726666123e-12,0.511222722297992,0.352,0.245,3.22753390055902e-08,9,H2AFV
2.3404380076227e-12,0.555045726689394,0.324,0.22,3.29182605772132e-08,9,HNRNPC
2.36608015373414e-12,0.495765958756426,0.165,0.086,3.32789173622707e-08,9,RELB
2.46161292568965e-12,0.456598836267263,0.178,0.094,3.46225857998249e-08,9,FOXP1
2.69231777299148e-12,0.577693833804416,0.31,0.208,3.78674494771252e-08,9,EZR
2.69296730196272e-12,0.753350075007084,0.282,0.192,3.78765851021057e-08,9,PIM3
2.69669164432734e-12,0.38148569339077,0.129,0.058,3.7928967977464e-08,9,MRPL50
3.03976609703536e-12,0.472447648049789,0.125,0.057,4.27543101548024e-08,9,ALG13
3.29641058312756e-12,0.499070144531983,0.114,0.05,4.63640148516891e-08,9,PSMA3-AS1
3.35539372426436e-12,0.414399331621547,0.157,0.078,4.71936127317782e-08,9,CCZ1
4.60859542054154e-12,0.515600765560577,0.118,0.053,6.48198945899168e-08,9,TIA1
4.68803901434276e-12,0.409818828214396,0.111,0.047,6.59372687367309e-08,9,STAT4
4.98075715961798e-12,0.482062708412802,0.167,0.086,7.00543494500269e-08,9,POLR2K
5.16235904144942e-12,0.542247935295287,0.294,0.192,7.26085799179861e-08,9,ATP5MC3
5.99235241472951e-12,0.448009320920459,0.114,0.051,8.42824367131705e-08,9,CCDC186
6.72627833009121e-12,0.404518401440126,0.102,0.042,9.46051047127329e-08,9,EMC8
6.80479614802557e-12,0.494822962815123,0.192,0.106,9.57094578219796e-08,9,PSMD6
7.21068630898728e-12,0.527539603347318,0.211,0.12,1.01418302935906e-07,9,MPHOSPH8
7.52091655568963e-12,0.430372895290106,0.132,0.062,1.05781691355775e-07,9,CYB5B
8.46134863936948e-12,0.361952139643724,0.123,0.056,1.19008868612732e-07,9,ZRSR2
8.81734432260603e-12,0.421366612911191,0.356,0.244,1.24015947897454e-07,9,SERBP1
9.08433141043238e-12,0.529979883644643,0.239,0.147,1.27771121287731e-07,9,IRF9
9.34568860445067e-12,0.488368563083607,0.158,0.082,1.31447110221599e-07,9,SRRM2
9.78652884325033e-12,0.313969081781215,0.107,0.046,1.37647528180316e-07,9,GTF2H1
1.09599688232359e-11,0.509490409341492,0.238,0.14,1.54151961498812e-07,9,ITM2A
1.11812101631245e-11,0.497209651088357,0.178,0.097,1.57263720944346e-07,9,SRP54
1.20419196104828e-11,0.498080167244671,0.148,0.074,1.6936959932144e-07,9,GOLT1B
1.24890609721004e-11,0.515898832302334,0.255,0.16,1.75658642572593e-07,9,CYLD
1.27320607320165e-11,0.497172994477422,0.275,0.177,1.79076434195812e-07,9,CUTA
1.5025060434191e-11,0.429187216196546,0.211,0.12,2.11327475006896e-07,9,TARBP1
1.54265802124346e-11,0.506953018542972,0.275,0.176,2.16974850687892e-07,9,HAX1
1.67600096062421e-11,0.447173447553119,0.261,0.16,2.35729535111795e-07,9,NSD3
1.77419260451713e-11,0.570582092733505,0.37,0.277,2.49540189825335e-07,9,ST13
1.97707612690402e-11,0.463347766470521,0.173,0.092,2.78075757249051e-07,9,DNAJA2
2.09535918353361e-11,0.467228423062097,0.384,0.287,2.94712269164002e-07,9,RAP1B
2.15934471886222e-11,0.589221349198036,0.202,0.115,3.03711834707972e-07,9,PTGER4
2.20444439289725e-11,0.257081700400524,0.755,0.752,3.10055103860998e-07,9,RPL36AL
2.43230760732013e-11,0.379431346495486,0.106,0.045,3.42104064969576e-07,9,POLE3
3.13843275420063e-11,0.458747517785815,0.125,0.06,4.41420566878318e-07,9,ETF1
3.35668881605926e-11,0.467957158637173,0.204,0.118,4.72118281978735e-07,9,MPLKIP
3.81108466622502e-11,0.4551124290665,0.129,0.062,5.36029058304549e-07,9,CCDC174
4.15333798021144e-11,0.344319023756846,0.104,0.045,5.84166986916739e-07,9,MFSD11
4.35340975791965e-11,0.340149465898753,0.116,0.053,6.12307082451399e-07,9,MFAP1
4.63241685012429e-11,0.303721423697949,0.651,0.551,6.51549429969981e-07,9,CXCR4
5.22083821895835e-11,0.432757342587916,0.572,0.523,7.34310895496492e-07,9,IFI16
5.77523191278848e-11,0.451020887730154,0.192,0.108,8.122863685337e-07,9,RPL7L1
6.0999839535989e-11,0.367762510081528,0.121,0.057,8.57962743073685e-07,9,EEF1E1
6.17620769451601e-11,0.786125074974317,0.308,0.223,8.68683612233676e-07,9,HIST1H2AC
7.23694357740669e-11,0.463215431044188,0.278,0.184,1.01787611416225e-06,9,CCT5
7.33354037271656e-11,0.374332627644902,0.109,0.049,1.03146245342258e-06,9,THUMPD1
8.21059124466199e-11,0.440088350151967,0.243,0.15,1.15481965856171e-06,9,ATP5PB
8.60823972545642e-11,0.54090203376325,0.192,0.113,1.21074891738545e-06,9,TOP1
9.43797975682872e-11,0.39787792451422,0.151,0.078,1.32745185279796e-06,9,GSPT1
9.55960957771078e-11,0.460037368765041,0.187,0.106,1.34455908710502e-06,9,MRPL22
9.82171951009866e-11,0.374633578134275,0.107,0.048,1.38142484909538e-06,9,ING3
1.11107047402708e-10,0.449758162628391,0.239,0.149,1.56272062171909e-06,9,MSL3
1.13864549563771e-10,0.524950743170565,0.143,0.073,1.60150488961444e-06,9,SHOC2
1.34676964997158e-10,0.442445325717028,0.136,0.068,1.89423151268502e-06,9,AZIN1
1.54902453879139e-10,0.748047691300768,0.222,0.141,2.17870301381009e-06,9,DUSP1
1.6530136531455e-10,0.519717233189215,0.419,0.34,2.32496370314915e-06,9,NDUFV2
1.83280817327363e-10,0.445627525272946,0.148,0.078,2.57784469570935e-06,9,ABHD3
2.22849249367243e-10,0.38861357646294,0.16,0.085,3.13437469235028e-06,9,SAP30BP
2.53411330359876e-10,0.359804940237968,0.146,0.075,3.56423036151165e-06,9,EIF2A
2.80367335777892e-10,0.50919029844539,0.224,0.139,3.94336657771604e-06,9,PRRC2C
3.40725745236769e-10,0.366769866651937,0.13,0.065,4.79230760675515e-06,9,NKAP
4.06765776761655e-10,0.38166158375969,0.38,0.278,5.72116065015267e-06,9,NDUFS5
4.64973175858484e-10,0.459060271157095,0.164,0.091,6.53984771844958e-06,9,CNP
4.65413707503122e-10,0.443013883526838,0.148,0.079,6.54604379603141e-06,9,MRPL44
4.9392375703985e-10,0.452167044577408,0.526,0.477,6.94703764276549e-06,9,SP100
5.19338064279787e-10,0.356479587027376,0.121,0.059,7.3044898740952e-06,9,GTPBP4
5.20397519907241e-10,0.265973187897166,0.725,0.682,7.31939111749535e-06,9,BTF3
6.79341938929415e-10,0.370888477264646,0.118,0.057,9.55494437104223e-06,9,FXR1
7.04116089315609e-10,0.45007848330001,0.155,0.085,9.90339279622404e-06,9,TM2D3
7.74465379795593e-10,0.384687314047274,0.118,0.057,1.0892855566825e-05,9,DCP1A
7.96445597278537e-10,0.512224138934426,0.183,0.108,1.12020073257226e-05,9,YWHAE
8.05402738473774e-10,0.418178767446632,0.217,0.133,1.13279895166336e-05,9,SNRPD1
8.81861694494376e-10,0.458111134059034,0.451,0.376,1.24033847330634e-05,9,C11orf58
1.01462799242749e-09,0.437617847562802,0.158,0.087,1.42707427134927e-05,9,PIK3R1
1.06126095500807e-09,0.478987489556862,0.217,0.134,1.49266353321886e-05,9,ARID5B
1.06888261357785e-09,0.444867873483121,0.109,0.052,1.50338339599724e-05,9,ATM
1.10690970369514e-09,0.402531008492737,0.13,0.066,1.55686849824721e-05,9,EIF3A
1.17006431418282e-09,0.444475713371431,0.208,0.125,1.64569545789814e-05,9,IKZF1
1.49634267800142e-09,0.433292600269109,0.384,0.299,2.104605976609e-05,9,ERH
1.8520548695335e-09,0.652538423350498,0.21,0.133,2.60491517399887e-05,9,ZFP36L1
2.09903420430522e-09,0.326180796256517,0.127,0.064,2.9522916083553e-05,9,PITHD1
2.15425139536612e-09,0.548374514470518,0.178,0.106,3.02995458758245e-05,9,TPR
2.17016003156293e-09,0.462516005481636,0.18,0.107,3.05233008439326e-05,9,SFPQ
2.18311102037113e-09,0.327606156578353,0.113,0.054,3.07054565015199e-05,9,ECHDC1
2.53150410623385e-09,0.335093805960276,0.106,0.05,3.56056052541791e-05,9,LINS1
2.81600841084568e-09,0.53319373376618,0.215,0.136,3.96071582985445e-05,9,HSH2D
2.89977481999181e-09,0.422342387636231,0.296,0.205,4.07853328431849e-05,9,PDCD4
2.94744416456694e-09,0.346008034160239,0.607,0.53,4.1455802174634e-05,9,ARHGDIB
2.99828508542301e-09,0.495074812637907,0.176,0.106,4.21708797264746e-05,9,GNAI3
3.50449794091068e-09,0.546381665526791,0.303,0.216,4.92907635389087e-05,9,NUDC
3.56809966639355e-09,0.367443291350419,0.102,0.048,5.01853218078253e-05,9,DRG1
3.8829380827121e-09,0.318459879250354,0.113,0.055,5.46135241333457e-05,9,COPS4
3.90874095814533e-09,0.484007366044091,0.25,0.169,5.49764415763141e-05,9,UGP2
4.33349244507632e-09,0.503551025404224,0.204,0.13,6.09505712399984e-05,9,ZNF207
5.55939463060827e-09,0.418633350968699,0.139,0.075,7.81928854795053e-05,9,NCBP2
5.59857090126272e-09,0.385361540454558,0.107,0.053,7.87438997262602e-05,9,MED6
6.37154622464823e-09,0.518410766507587,0.137,0.074,8.96157976496774e-05,9,SRSF8
7.16523907000218e-09,0.419876738128296,0.114,0.058,0.000100779087519581,9,ZNF830
7.20510439431118e-09,0.356053696665004,0.12,0.061,0.000101339793305987,9,JMJD1C
7.96225190840054e-09,0.416482074764641,0.107,0.053,0.000111989073091654,9,PPP1R10
8.55915122383981e-09,0.386926253661135,0.165,0.096,0.000120384461963307,9,SKIL
9.23331210766541e-09,0.380261058669846,0.104,0.051,0.000129866534794314,9,SREK1
9.53348836877327e-09,0.365384793267335,0.118,0.06,0.000134088513906796,9,DR1
9.97091873078749e-09,0.305696163579651,0.106,0.051,0.000140240971948526,9,ZPR1
1.05865107068692e-08,0.349198640525028,0.125,0.066,0.000148899273092116,9,PHF20L1
